cat,caption,label,caption_small,original_caption,self_written_caption
ceviche,"a photo of ceviche with onions, tomatoes, and broccoli in a white bowl; a photo of ceviche with shrimp, corn, and tomatoes on a plate; a photo of ceviche of shrimp and vegetables in a bowl on a plate; a photo of ceviche with a spoon and a fork on a plate; a photo of ceviche with shrimp, onions, and peppers in a clear bowl; a photo of ceviche and salad on a plate with a glass of wine; a photo of ceviche, cornbreads, and a salad on a red plate; a photo of ceviche with squid, carrots, and other food items; a photo of ceviche salad with chips and a wooden spoon; a photo of ceviche with chips and a salad on a plate; a photo of ceviche with shrimp, carrots, and onions in a white bowl; a photo of ceviche with pita bread and a bowl of soup; a photo of ceviche, corn, avocado, and onion on a plate; a photo of ceviche with tortilla and lime wedges on a plate; a photo of ceviche in a pan on a table; a photo of ceviche with vegetables and herbs in a glass; a photo of ceviche with shrimp, avocado, and bread on a plate; a photo of ceviche and other dishes of food on a table; a photo of ceviche and bread in a bowl on a table; a photo of ceviche salad with shrimp, avocado, and lime; ",158,"A photo of ceviche with shrimp, onions, and peppers in a clear bowl; a photo of Ceviche and salad on a plate with a glass of wine with a wine glass. A photo of shrimp, carrots, and onions in a white bowl;  a Overall, this is a photo of ceviche",a photo of ceviche,a food photo of ceviche
cheese_plate,"a photo of cheese plate with bread, meat, and a beer; a photo of cheese plate with figs and cheese on it; a photo of cheese plate with bread and cheese slices on it; a photo of cheese plate with meat and cheese on it next to a glass of wine; a photo of cheese plate with a variety of cheeses and fruit; a photo of cheese plate with meat and vegetables on it; a photo of cheese plate with a knife and a fork; a photo of cheese plate with bread and dip on it; a photo of cheese plate with grapes and bread on a white plate; a photo of cheese plate with bread and meat on it; a photo of cheese plated with slices of cheese on a blue counter; a photo of cheese plate with crackers, grapes, celery, and crackers; a photo of cheese plate with various types of cheese and bread; a photo of cheese plate with meat, nuts, and apples; a photo of cheese plate with walnuts, cheese, and cheese; a photo of cheese plate with bread and a beer on a table; a photo of cheese plate with bread and salad on a table; a photo of cheese plate with meat, grapes, and sauce; a photo of cheese plate with meat and bread on a table; a photo of cheese plate with crackers and dip with a spoon; ",159,"A photo of cheese plate with bread, meat, and a beer; a photo of Cheese plate with figs and cheese on it. A photo of meat and cheese plate on a plate next to a glass of wine. A photos of cheese plates with crackers, grapes, celery Overall, this is a photo of cheese plate",a photo of cheese plate,a food photo of cheese plate
cheesecake,a photo of cheesecake in a box with a cup of coffee; a photo of cheesecake with blueberry sauce on a white plate; a photo of cheesecake and chocolate cake on plates on a table; a photo of cheesecake with raspberry sauce on a white plate; a photo of cheesecake with berries and mint leaves on a plate; a photo of cheesecake and strawberries on a plate; a photo of cheesecake with orange sauce on a white plate; a photo of cheesecake with fruit on top in a box; a photo of cheesecake with powdered sugar on a plate; a photo of cheesecake with raspberry sauce on a white plate; a photo of cheesecake in a plastic container on a table; a photo of cheesecake with whipped cream on a white plate; a photo of cheesecake with blueberry sauce and a white icing; a photo of cheesecake with berries and sauce on a white plate; a photo of cheesecake with a red and gold decoration on top; a photo of cheesecake with walnuts and a scoop of ice cream; a photo of cheesecake with berries and ice cream on a plate; a photo of cheesecake on a plate on a table; a photo of cheesecake with blueberry sauce on a white plate; a photo of cheesecake with a slice missing on a plate; ,160,"A photo of cheesecake in a box with a cup of coffee. A photo of cheesecake with blueberry sauce on a white plate. a photo of  cheesecake with berries and mint leaves on a plate. Overall, this is a photo of cheesecake",a photo of cheesecake,a food photo of cheesecake
chicken_curry,"a photo of chicken curry with asparagus and green beans in a white bowl; a photo of chicken curry with hard boiled eggs and noodles; a photo of chicken curry with rice and vegetables in a bowl; a photo of chicken curry and rice on a plate with a side of naan bread; a photo of chicken curry with vegetables in a white bowl; a photo of chicken curry and rice in a black bowl; a photo of chicken curry and rice on a plate with a fork; a photo of chicken curry in a white bowl with a spoon; a photo of chicken curry with pita bread and sour cream; a photo of chicken curry in a bowl with a spoon; a photo of chicken curry and pita bread on a plate with a salad; a photo of chicken curry with pita bread and a side of naan bread; a photo of chicken curry with rice and a side of rice; a photo of chicken curry, rice, and salad on a white plate; a photo of chicken curry with green beans and rice on a plate; a photo of chicken curry and rice with naan bread on a table; a photo of chicken curry with cheese and herbs in a bowl; a photo of chicken curry and rice on a plate with a spoon; a photo of chicken curry with a side of bread and a side of broccoli; a photo of chicken curry with rice and naan bread on a plate; ",161,"A photo of chicken curry with asparagus and green beans in a white bowl. A photo of  chicken curry and rice on a plate with a side of naan bread on a table. a photo ofChicken curry with cheese and herbs in a bowl. Overall, this is a photo of chicken curry",a photo of chicken curry,a food photo of chicken curry
chicken_quesadilla,"a photo of chicken quesadilla with a salad and a side of dressing; a photo of chicken quesadilla with a side of salad; a photo of chicken quesadilla with salsa and kale chips; a photo of chicken quesadilla with a side of vegetables; a photo of chicken quesadilla with a side of dip sauce; a photo of chicken quesadilla with a bowl of soup on a plate; a photo of chicken quesadilla with lettuce and cheese on a plate; a photo of chicken quesadilla with a side of vegetables; a photo of chicken quesadilla, rice, and beans on a plate; a photo of chicken quesadilla and a drink on a table; a photo of chicken quesadilla with peppers and cheese on a plate; a photo of chicken quesadilla with salsa and a side of chips; a photo of chicken quesadilla with lettuce and tomato sauce; a photo of chicken quesadilla with salsa and a side of beans; a photo of chicken quesadilla with french fries on a plate; a photo of chicken quesadilla with tomato sauce and lettuce; a photo of chicken quesadilla on a plate on a table; a photo of chicken quesadilla with chips and salsa on a plate; a photo of chicken quesadilla with lettuce and tomato sauce; a photo of chicken quesadilla with salsa and a bowl of salsa; ",162,"A photo of chicken quesadilla with a salad and a side of dressing. A photo of  chicken quedilla with salsa and kale chips; a photo of chicken quesadillas with a side of vegetables;  a photo of chicken qu Overall, this is a photo of chicken quesadilla",a photo of chicken quesadilla,a food photo of chicken quesadilla
chicken_wings,"a photo of chicken wings in a bowl on a table; a photo of chicken wings and carrots in a basket with a side of ranch dressing; a photo of chicken wings on a plate with a glass of beer; a photo of chicken wings and a side of sauce in a basket; a photo of chicken wings and celery on a plate with a side of dipping sauce; a photo of chicken wings and celery with a side of ranch dressing; a photo of chicken wings and celery sticks in a basket; a photo of chicken wings and carrots on a plate with a dipping sauce; a photo of chicken wings and carrots with a side of ranch dressing; a photo of chicken wings and salad on a plate with a side of ranch dressing; a photo of chicken wings and carrots in a basket with a side of ranch dip; a photo of chicken wings and carrots with dipping sauce on a plate; a photo of chicken wings and a side of potato wedges on a plate; a photo of chicken wings, rice, and sauce on a plate; a photo of chicken wings with a side of ranch dressing; a photo of chicken wings and celery sticks on a plate; a photo of chicken wings and carrots with ranch dip on a plate; a photo of chicken wings and celery sticks in a frying pan; a photo of chicken wings and a side of celery on a plate; a photo of chicken wings and a hot dog on a plate; ",163,"A photo of chicken wings on a plate with a glass of beer. A photo of wings and carrots in a basket with a side of ranch dressing. Chicken wings and celery sticks in a frying pan. chicken wings and a hot dog. Overall, this is a photo of chicken wings",a photo of chicken wings,a food photo of chicken wings
chocolate_cake,a photo of chocolate cake and ice cream on a white plate; a photo of chocolate cake with berries and mint leaves on a plate; a photo of chocolate cake with a piece of chocolate cake on top; a photo of chocolate cake with chocolate sauce drizzled on top; a photo of chocolate cake on a plate with a fork; a photo of chocolate cake with white frosting and chocolate sprinkles; a photo of chocolate cake with whipped cream and chocolate drizzle on a glass plate; a photo of chocolate cake with a knife on a plate; a photo of chocolate cake with a slice taken out of it; a photo of chocolate cake with chocolate icing on a plate; a photo of chocolate cake with whipped cream and chocolate sauce; a photo of chocolate cake and ice cream on a plate; a photo of chocolate cake with a layer of chocolate frosting on a plate; a photo of chocolate cake with lit candles on top of it; a photo of chocolate cake with powdered sugar on top on a plate; a photo of chocolate cake with whipped cream on a white plate; a photo of chocolate cake with a candle in a bowl and a cup of sauce; a photo of chocolate cake with a single orange on top; a photo of chocolate cake on a plate with a piece missing; a photo of chocolate cake with a knife sticking out of it; ,164,"A photo of chocolate cake and ice cream on a white plate. A photo of  chocolate cake with berries and mint leaves on a plate; a photo of Chocolate cake with a slice taken out of it. A  photo ofocolate cake with whipped cream and chocolate sauce. Overall, this is a photo of chocolate cake",a photo of chocolate cake,a food photo of chocolate cake
chocolate_mousse,"a photo of chocolate mousse cake with chocolate sauce and chocolate drizzle; a photo of chocolate mousse with whipped cream and chocolate shavings; a photo of chocolate mousse with a spoon and bowl of cream; a photo of chocolate mousse with whipped cream and chocolate sprinkles; a photo of chocolate mousse with ice cream and nuts on a plate; a photo of chocolate mousse in a plastic cup with a lid; a photo of chocolate mousse with strawberries, mint leaves and a candle; a photo of chocolate mousse on a white plate with a spoon; a photo of chocolate mousse with nuts and cream on a white plate; a photo of chocolate mousse with whipped cream and toppings; a photo of chocolate mousse with a strawberry topping in a white bowl; a photo of chocolate mousse with nuts in a bowl; a photo of chocolate mousse with strawberries and chocolate sauce with a candle; a photo of chocolate mousse, fruit and whipped cream on a plate; a photo of chocolate mousse with a red sauce on a plate; a photo of chocolate mousse with whipped cream and walnuts on a plate; a photo of chocolate mousse with a scoop of vanilla on top; a photo of chocolate mousse with whipped cream in a glass; a photo of chocolate mousse in a cup with a spoon; a photo of chocolate mousse with whipped cream in a glass; ",165,"A photo of chocolate mousse cake with chocolate sauce and chocolate drizzle. A photo ofocolate mousse with whipped cream and chocolate shavings. a photo of  chocolate mousse with ice cream and nuts on a plate. Overall, this is a photo of chocolate mousse",a photo of chocolate mousse,a food photo of chocolate mousse
churros,"a photo of churros dipped with chocolate in a cup of coffee; a photo of churros and a cup of coffee on a plate; a photo of churros are dipped with sugar and served in a cup; a photo of churros, bananas, strawberries, and other foods on a plate; a photo of churros and a cup of coffee on a table; a photo of churros with whipped cream and a cherry on top; a photo of churros on a plate with a cup of chocolate; a photo of churros on a plate on a table; a photo of churros with caramel sauce on top of them; a photo of churros and a cup of coffee on a plate; a photo of churros on a plate with a cup of whipped cream; a photo of churros are sitting on a table with sugar; a photo of churros and bananas in a paper container on a table; a photo of churros and a cup of chocolate sauce on a plate; a photo of churros on a table with a cup of coffee; a photo of churros and a cup of chocolate on a plate; a photo of churros are sitting on a piece of paper; a photo of churros in a bag on a person's lap; a photo of churros on a stick with a small bowl of ketchup; a photo of churros and dipping sauce on a plate; ",166,"A photo of churros with whipped cream and a cherry on top. A photo of a plate of bananas, strawberries, and other foods on a plate. a photo of chocolate in a cup of coffee;    a photo  of churos on a stick with a Overall, this is a photo of churros",a photo of churros,a food photo of churros
clam_chowder,a photo of clam chowder in a white bowl on a table; a photo of clam chowder with a piece of bread on a plate; a photo of clam chowder in a white bowl with a spoon; a photo of clam chowder in a bowl with a spoon and a bag of chips; a photo of clam chowder with a bag of chips and a spoon; a photo of clam chowder in a white bowl with a spoon; a photo of clam chowder and fried potatoes in a bowl; a photo of clam chowder in a white bowl on a table; a photo of clam chowder in a white bowl on a plate; a photo of clam chowder in a bowl with a spoon; a photo of clam chowder in a red bowl with a spoon on a red plate; a photo of clam chowder and crackers on a plate; a photo of clam chowder in a blue bowl with a spoon; a photo of clam chowder soup with a bag of crackers; a photo of clam chowder in a paper cup on a table; a photo of clam chowder and a salad on a plate; a photo of clam chowder in a bowl with a spoon; a photo of clam chowder in a bowl on a plate; a photo of clam chowder with crackers in a bowl; a photo of clam chowder in a bread bowl on a table; ,167,"A photo of clam chowder in a bowl with a spoon and a bag of chips. A photo of clams in a bread bowl on a table;  a photo of fried potatoes in a Bowl. Overall, this is a photo of clam chowder",a photo of clam chowder,a food photo of clam chowder
club_sandwich,"a photo of club sandwich and fries on a plate with a fork; a photo of club sandwich and fries on a plate with a drink; a photo of club sandwich with fries on a plate; a photo of club sandwich with fries and ketchup on a plate; a photo of club sandwich and fries on a plate with a side of fruit; a photo of club sandwich with salad and salad dressing on a plate; a photo of club sandwich with bacon, lettuce, cheese, and tomato; a photo of club sandwich with lettuce, tomato, and ham; a photo of club sandwich with lettuce and tomato in a paper container; a photo of club sandwich and fries on a plate with a drink; a photo of club sandwich cut in half on a plate; a photo of club sandwich with lime and sugar in a bowl; a photo of club sandwich cut in half on a plate; a photo of club sandwich with french fries and salad on a plate; a photo of club sandwich with fries and a drink on a table; a photo of club sandwich and fries on a plate with a side of ketchup; a photo of club sandwich and french fries on a plate; a photo of club sandwich cut in half on a table; a photo of club sandwich with fries and a drink on a table; a photo of club sandwich with salad and a cup of coffee; ",168,"A photo of club sandwich and fries on a plate with a fork. A photo of  club sandwich with lettuce, tomato, and ham in a paper container. a photo of club sandwich with fries and ketchup on a Plate. Overall, this is a photo of club sandwich",a photo of club sandwich,a food photo of club sandwich
crab_cakes,"a photo of crab cakes with a lemon on top and a side of green beans; a photo of crab cakes with a side of salad and a fork; a photo of crab cakes, fries, and greens on a plate; a photo of crab cakes with tomato sauce and parsley; a photo of crab cakes and a salad on a plate; a photo of crab cakes and a salad on a white plate; a photo of crab cakes with bacon and eggs on a plate; a photo of crab cakes and rice with a side of vegetables; a photo of crab cakes and salad with dipping sauce on a plate; a photo of crab cakes and a lemon wedge on a plate; a photo of crab cakes with a side of coleslaw and a side of coleslaw; a photo of crab cakes on a plate with lemon wedges; a photo of crab cakes and a side of coleslaw on a plate; a photo of crab cakes with a sauce and a tomato; a photo of crab cakes in a container with a fork; a photo of crab cakes with mustard sauce and a lemon wedge; a photo of crab cakes with carrots and zucchini on a plate; a photo of crab cakes with a side of avocado and a side of salad; a photo of crab cakes and broccoli on a plate; a photo of crab cakes with sauce and lettuce on a plate; ",169,"A photo of crab cakes with a lemon on top and a side of green beans. A photo of  crab cakes and salad with dipping sauce on a plate. a photo of crabs with mustard sauce and a lemon wedge. Overall, this is a photo of crab cakes",a photo of crab cakes,a food photo of crab cakes
creme_brulee,"a photo of creme brulee with black olives in a white bowl; a photo of creme brulee with raspberries in a white bowl; a photo of creme brulee in a white bowl on a wooden board; a photo of creme brulee with strawberries and a piece of bread; a photo of creme brulee with blue flames on a plate; a photo of creme brulee with oranges on top on a white plate; a photo of creme brulee with blueberries in a white bowl; a photo of creme brulee with a piece of bacon on top; a photo of creme brulee in a tin foil container; a photo of creme brulee with a cherry on top; a photo of creme brulee is served on a white plate; a photo of creme brulee, bananas, and other desserts on a yellow plate; a photo of creme brulee with bananas and a side of bread; a photo of creme brulee with a strawberry on top; a photo of creme brulee with whipped cream on a plate; a photo of creme brulee with fruit and powdered sugar on a white plate; a photo of creme brulee with fruit on top on a plate; a photo of creme brulee in a brown bowl on a marble counter; a photo of creme brulee with a spoon in it; a photo of creme brulee served on a white plate with a red table cloth; ",170,"A photo of creme brulee is served on a white plate with a red table cloth. A photo of a bowl of black olives is shown with a piece of bacon on top. Another photo shows a plate of fruit with a cherry on top on a plate. Overall, this is a photo of creme brulee",a photo of creme brulee,a food photo of creme brulee
croque_madame,a photo of croque madame with a fried egg and french fries; a photo of croque madame with a fried egg on top; a photo of croque madame with a fried egg and a salad; a photo of croque madame with two fried eggs on top; a photo of croque madame with french fries on a plate; a photo of croque madame with a side of french fries; a photo of croque madame with a fork and salad on a plate; a photo of croque madame with a fried egg on top; a photo of croque madame with a fried egg on top; a photo of croque madame with a fried egg and a salad; a photo of croque madame with a fried egg and grapes; a photo of croque madame on a plate with a cup of coffee; a photo of croque madame with a fried egg on top; a photo of croque madame with an egg on top; a photo of croque madame with an egg on top; a photo of croque madame with french fries and salad on a plate; a photo of croque madame with a fried egg on top; a photo of croque madame sandwich with an egg on top; a photo of croque madame with a side of salad and a cup of coffee; a photo of croque madame with a side of salad and a fried egg; ,171,"A photo of croque madame on a plate with two fried eggs on top. A photo of  croqueMadame with a side of salad and a cup of coffee. a photo of  croque madame with a fried egg and french fries. Overall, this is a photo of croque madame",a photo of croque madame,a food photo of croque madame
cup_cakes,a photo of cup cakes with green frosting and a flower on top; a photo of cup cakes are lined up on a tray; a photo of cup cakes on a wooden board in a glass case; a photo of cup cakes with pink frosting on a plate; a photo of cup cakes with white frosting and red sprinkles on a plate; a photo of cup cakes with frosting and sprinkles in a box; a photo of cup cakes and other pastries are on display; a photo of cup cakes with frosting and sprinkles on a tray; a photo of cup cakes with frosting and a blue umbrella on a plate; a photo of cup cakes in a box with frosting and sprinkles; a photo of cup cakes with chocolate and whipped cream on top; a photo of cup cakes and ice creams arranged in the shape of a letter o; a photo of cup cakes with chocolate frosting and candy canes; a photo of cup cakes and muffins are on display in a bakery; a photo of cup cakes with chocolate frosting and a polka dot paper wrapper; a photo of cup cakes with sprinkles on top of them; a photo of cup cakes in a box with frosting on top; a photo of cup cakes in a box with different toppings; a photo of cup cakes with chocolate frosting and a cherry on top; a photo of cup cakes with pink frosting and white hearts on them; ,172,"A photo of cup cakes and other pastries are on display in a bakery. A photo of  cup cakes with frosting and sprinkles on a tray; a photo of cup cakes on a wooden board in a glass case. a photo  of  ice creams arranged in Overall, this is a photo of cup cakes",a photo of cup cakes,a food photo of cup cakes
deviled_eggs,a photo of deviled eggs and a salad in a basket; a photo of deviled eggs with green onions and chives on a plate; a photo of deviled eggs on a wooden plate with a fork; a photo of deviled eggs on a white plate on a table; a photo of deviled eggs with red pepper and paprito; a photo of deviled eggs with chili and pepper on a white plate; a photo of deviled eggs with green onions and mustard on top; a photo of deviled eggs with a martini on a tray; a photo of deviled eggs with pickles and mustard on a white plate; a photo of deviled eggs on a white plate with a glass of water; a photo of deviled eggs with lettuce and cheese on a blue plate; a photo of deviled eggs on a plate with lettuce and parsley; a photo of deviled eggs with shrimp and garnish on a white plate; a photo of deviled eggs on a white plate being held by a person; a photo of deviled eggs with prosciutto and chives on a plate; a photo of deviled eggs with olives and pepper on a tray; a photo of deviled eggs with garnish on a black plate; a photo of deviled eggs with bacon and pickles on a plate; a photo of deviled eggs with green garnish on a white plate; a photo of deviled eggs with red pepper on a plate; ,173,"A photo of deviled eggs and a salad in a basket. A photo of  deviled egg with green onions and chives on a plate. a photo ofdeviled eggs with pickles and mustard on a white plate. Overall, this is a photo of deviled eggs",a photo of deviled eggs,a food photo of deviled eggs
donuts,a photo of donuts in a box with different toppings; a photo of donuts and a cup of coffee on a plate; a photo of donuts with powdered sugar and a bowl of cream; a photo of donuts with chocolate icing and sprinkles on them; a photo of donuts with pink icing and sprinkles on them; a photo of donuts and chocolate covered donuts on a tray; a photo of donuts in a box with different flavors and flavors; a photo of donuts in a box with different toppings; a photo of donuts with cereal and sprinkles on a table; a photo of donuts in a box with a white frosting; a photo of donuts are sitting on a napkin on a table; a photo of donuts on a plate with powdered sugar on top; a photo of donuts being made in a commercial kitchen; a photo of donuts in a box with a yellow box underneath them; a photo of donuts are displayed in a display case; a photo of donuts on a plate with a sauce on top; a photo of donuts with orange glaze on a napkin; a photo of donuts in a box with different toppings; a photo of donuts and other food on a white plate; a photo of donuts on a paper plate with a cup of coffee; ,174,"A photo of donuts with powdered sugar and a bowl of cream; a photo ofDonuts with chocolate icing and sprinkles on them; a photos of donut being made in a commercial kitchen. A photo of  donuts on a paper plate with a cup of coffee;  Overall, this is a photo of donuts",a photo of donuts,a food photo of donuts
dumplings,a photo of dumplings in a steamer basket on a table; a photo of dumplings are arranged in a basket with a sign; a photo of dumplings are being cooked in a metal bowl; a photo of dumplings in a bamboo basket on a table; a photo of dumplings in a wooden bowl on a table; a photo of dumplings and a bowl of soup on a table; a photo of dumplings in a styrofoam container on a table; a photo of dumplings in a wooden bowl with lettuce; a photo of dumplings being lifted by chopsticks over a bowl of sauce; a photo of dumplings in a steamer basket on a stove; a photo of dumplings in a wooden container with a white cloth; a photo of dumplings in a wooden container with a spoon; a photo of dumplings in a sauce in a pan on a table; a photo of dumplings in a steamer in a wooden bowl; a photo of dumplings in a bamboo basket on a table; a photo of dumplings in a white bowl with sauce on a spoon; a photo of dumplings and lettuce on a plate with a fork; a photo of dumplings in a metal container with a spoon; a photo of dumplings are being cooked in a metal pan; a photo of dumplings with cheese and sauce on a bamboo mat; ,175,"A photo of dumplings being lifted by chopsticks over a bowl of sauce. A photo of a steamer basket on a stove; a photo of  dumplings in a wooden container with a white cloth. Overall, this is a photo of dumplings",a photo of dumplings,a food photo of dumplings
edamame,a photo of edamame in a bowl on a table; a photo of edamame in a wooden bowl on a table; a photo of edamame is on a white paper towel; a photo of edamame is on a plate with a fork; a photo of edamame is in a plastic container on a table; a photo of edamame in a bowl on a table; a photo of edamame in a bowl with a spoon and a bowl of sauce; a photo of edamame is on a white plate on a table; a photo of edamame is on a plate with a beer; a photo of edamame in a white bowl on a table; a photo of edamame on a plate with salt on top; a photo of edamame in a white bowl on a table; a photo of edamame in a container on a table; a photo of edamame in a bowl with a side of sauce; a photo of edamame beans in a bowl on a table; a photo of edamame in a bowl on a table; a photo of edamame on a plate with a colorful design; a photo of edamame in a white bowl on a table; a photo of edamame on a plate with a fork; a photo of edamame in a plastic container on a table; ,176,"A photo of edamame is on a plate with salt on top; a photo of Edamame in a bowl with a side of sauce;   A photo ofEdamame on a white plate on a table;  a photo  of edAmame is in a Overall, this is a photo of edamame",a photo of edamame,a food photo of edamame
eggs_benedict,a photo of eggs benedict with potatoes and a spoon in a bowl; a photo of eggs benedict with tomatoes and olives on a plate; a photo of eggs benedict on toast with ham and cheese; a photo of eggs benedict with a side of asparagus and a tomato; a photo of eggs benedict on toast with bacon and tomato sauce; a photo of eggs benedict on a toasted bread with a side salad; a photo of eggs benedict on bread with ham and greens; a photo of eggs benedicts and hash browns on a plate; a photo of eggs benedict with a side of potatoes on a plate; a photo of eggs benedict with onions and cheese on a plate; a photo of eggs benedict with bacon and a side of vegetables; a photo of eggs benedict with bacon and cheese on a white plate; a photo of eggs benedict on a plate with a salad and a beer; a photo of eggs benedict with meat and cheese on a plate; a photo of eggs benedict with bacon and potatoes on a plate; a photo of eggs benedict on toast with ham and cheese; a photo of eggs benedict with coleslaw and coleslaw slaw on a plate; a photo of eggs benedict on toast with bacon and cheese; a photo of eggs benedict with bacon and tomatoes on a plate; a photo of eggs benedict on a plate with potatoes and a knife; ,177,"A photo of eggs benedict with a side of asparagus and a tomato. A photo of breakfast on toast with bacon and tomato sauce; a photo of Eggs benedicts and hash browns on a plate. Overall, this is a photo of eggs benedict",a photo of eggs benedict,a food photo of eggs benedict
escargots,a photo of escargots and raisins in a bowl on a plate; a photo of escargots with a sauce and herbs in a white bowl; a photo of escargots in a pan with a glass of wine; a photo of escargots in a creamy soup in a bowl; a photo of escargots are on a plate with a fork; a photo of escargots in a sauce with cheese and sauce; a photo of escargots are cooked in a pan on a plate; a photo of escargots are on a plate with sauce; a photo of escargots and other vegetables are served in a bowl; a photo of escargots and bread on a plate on a table; a photo of escargots in a bowl with sauce and bread; a photo of escargots in a pan on a table; a photo of escargots and bread on a plate with a glass of wine; a photo of escargots with herbs and cheese on a white plate; a photo of escargots and a bowl of soup on a table; a photo of escargots in a pan on a stove; a photo of escargots and bread on a plate with a candle; a photo of escargots are on a plate with a spoon; a photo of escargots and vegetables in a bowl with bread on a plate; a photo of escargots on a plate with sauce and pepperoni; ,178,"A photo of escargots and raisins in a bowl on a plate; a photo of Escargots with a sauce and herbs in a white bowl. A photo ofEscargots in a pan on a table with a glass of wine;  a photo  of esc Overall, this is a photo of escargots",a photo of escargots,a food photo of escargots
falafel,"a photo of falafel and potatoes on a plate on a table; a photo of falafel balls on a plate with a bowl of salad; a photo of falafel balls with yogurt and parsley; a photo of falafel and a cup of yogurt on a tin foil; a photo of falafel cutlets on a plate with sauce; a photo of falafel on a fork on a piece of tin foil; a photo of falafel, tomatoes, and other foods are on a plate; a photo of falafel and dip sauce on a plate; a photo of falafel and other foods on a table; a photo of falafel wrap with cheese and lettuce on a plate; a photo of falafel balls on a plate with a bowl of ranch dip; a photo of falafel with sauce and dressing on a plate; a photo of falafel wrapped in paper with a basket of bread; a photo of falafel and tomatoes on a plate with a side of salad; a photo of falafel sandwich with pickles and onions on a plate; a photo of falafel, tomatoes, and other vegetables on a plate; a photo of falafel and salad with dressing in a white bowl; a photo of falafel and french fries on a plate; a photo of falafel, meatballs, and vegetables on a plate; a photo of falafel sandwich with lettuce and tomato on a piece of paper; ",179,"A photo of falafel and potatoes on a plate on a table. A photo of falafel and a cup of yogurt on a tin foil; a photo of  cutlets on a plates with sauce.  A photo  of falAFel wrapped in paper with Overall, this is a photo of falafel",a photo of falafel,a food photo of falafel
filet_mignon,"a photo of filet mignon with mustard and french fries; a photo of filet mignon with mashed potatoes and herbs; a photo of filet mignon with a sprig of rosemary on top; a photo of filet mignon, mashed potatoes, and broccoli on a plate; a photo of filet mignon with rice and a knife on a plate; a photo of filet mignon with a sauce and vegetables on a plate; a photo of filet mignon with asparagus and gravy on a plate; a photo of filet mignon with mustard and parsley; a photo of filet mignon with mashed potatoes and green beans; a photo of filet mignon with french fries and bread; a photo of filet mignon with a side of potatoes and a glass of wine; a photo of filet mignon and a potato cake on a plate; a photo of filet mignon on a plate with a fork; a photo of filet mignon with a baked potato and a knife; a photo of filet mignon on a plate with a sprig of thyme; a photo of filet mignon with vegetables and meat on a plate; a photo of filet mignon with sauce and garnish on a plate; a photo of filet mignon with a green sauce on a white plate; a photo of filet mignon with french fries and green beans; a photo of filet mignon with a green stuffed animal; ",180,"A photo of filet mignon with a sprig of rosemary on top and rice and a knife on a plate. A photo of  filet mignon with a side of potatoes and a glass of wine; a photo of filet  mign Overall, this is a photo of filet mignon",a photo of filet mignon,a food photo of filet mignon
fish_and_chips,a photo of fish and chips with a side of carrots and a lemon; a photo of fish and chips with coleslaw and coleslaw slaw; a photo of fish and chips on a plate with a side of lemon wedges; a photo of fish and chips with coleslaw and coleslaw slaw; a photo of fish and chips and a beer are on a table; a photo of fish and chips with a salad on a plate; a photo of fish and chips with a salad and a glass of orange juice; a photo of fish and chips on a plate with a side of dip; a photo of fish and chips with a side of salad and a side of fries; a photo of fish and chips with a side of salad and a beer; a photo of fish and chips on a plate with a side of bread; a photo of fish and chips on a wooden tray with dipping sauces; a photo of fish and chips in a basket with a glass of wine; a photo of fish and chips in a basket with a side of sauce; a photo of fish and chips in a small bowl on a table; a photo of fish and chips on a plate with a beer; a photo of fish and chips on a plate with a side of coleslaw; a photo of fish and chips on a plate with a side of dip; a photo of fish and chips on a plate with a side of dipping sauce; a photo of fish and chips on a plate with a beer; ,181,"A photo of fish and chips with a side of carrots and a lemon. A photo of  fish and Chips with a salad and a glass of orange juice. a photo ofFish and chips on a plate with a side of dip; a photo of fish and chips with Overall, this is a photo of fish and chips",a photo of fish and chips,a food photo of fish and chips
foie_gras,"a photo of foie gras with a side of mashed potatoes and a side of; a photo of foie gras with a garnish of greens on top; a photo of foie gras with a variety of toppings on a white plate; a photo of foie gras with spinach and a piece of meat; a photo of foie gras with a sauce and a side of bread; a photo of foie gras and bread on a plate; a photo of foie gras with vegetables and sauce on a white plate; a photo of foie gras, bread, and a bowl of fruit on a table; a photo of foie gras with a dollop of cream and a spoon; a photo of foie gras bread, salad, and a pickle on a plate; a photo of foie gras and a dessert on a plate; a photo of foie gras with lettuce, carrots and mustard; a photo of foie gras, bread, and vegetables on a red plate; a photo of foie gras bread and a knife on a cutting board; a photo of foie gras with sauce and a fork on a plate; a photo of foie gras with figs, mashed potatoes, and a side; a photo of foie gras with a garnish of red peppers and a sp; a photo of foie gras and other foods on display in a store; a photo of foie gras with a side of salad and a sandwich; a photo of foie gras and a piece of bread on a plate; ",182,"A photo of foie gras with a side of mashed potatoes and a side. A photo of  foiegras with spinach and a piece of meat. A picture of a bowl of fruit with a dollop of cream on top. Overall, this is a photo of foie gras",a photo of foie gras,a food photo of foie gras
